Filename,Category,Kind,N_Features,N_Features_in_Policies_Complete,N_Features_in_Policies_Failed,N_Configurations,Z3_Policies_Evaluated,Z3_Alerts,AST_Alerts,Is_Match,T_Z3_ms,T_AST_ms,False_Positives_AST,False_Negatives_AST,Error_Mapping
service-definition11.yaml,tiny,Service,15,13,4,1,6,2,2,True,27606.86,48.22,[],[],
selinuxoptions4364.yaml,tiny,Pod,19,481,187,1,49,13,13,True,178016.98,188.07,[],[],
httpbin-vault_1.yaml,tiny,Deployment,24,422,178,4,26,8,8,True,97346.49,119.89,[],[],
selinuxoptions3839.yaml,tiny,Pod,28,481,136,1,49,11,11,True,178378.42,174.15,[],[],
pv498.yaml,tiny,PersistentVolume,11,0,0,1,0,0,0,True,0.0,23.62,[],[],
rbac124_1.yaml,tiny,ClusterRoleBinding,13,12,0,1,4,0,0,True,7037.7,29.9,[],[],
gotk-components35_34.yaml,tiny,Deployment,77,422,77,1600,26,4,4,True,98235.79,93.67,[],[],
selenium-hub-svc3.yaml,tiny,Service,21,13,4,3,6,2,2,True,27777.95,63.84,[],[],
pod-with-node-affinity16.yaml,tiny,Pod,25,481,189,8,49,14,14,True,177990.23,334.31,[],[],
prometheus128_14.yaml,tiny,Service,24,13,2,14,6,1,1,True,27654.36,39.42,[],[],
elastic-stack16_9.yaml,tiny,Deployment,39,422,178,3,26,8,8,True,97272.19,125.22,[],[],
pod-good101_9.yaml,tiny,Pod,15,481,191,2,49,14,14,True,177681.77,190.99,[],[],
pod762.yaml,tiny,Pod,88,481,210,1080,49,18,18,True,176700.33,217.61,[],[],
podcontroller-bad42_11.yaml,tiny,CronJob,20,420,201,2,25,8,8,True,93793.05,134.79,[],[],
order-backend-depl-serv.yaml,tiny,Deployment,21,422,176,1,26,7,7,True,97489.54,113.65,[],[],
pvclaim_azure_nfs1_1.yaml,tiny,PersistentVolume,16,0,0,1,0,0,0,True,0.0,26.14,[],[],
seccompprofile_baseline2660.yaml,tiny,Pod,29,481,136,1,49,11,11,True,178374.03,168.24,[],[],
converter-deploy29.yaml,tiny,Deployment,31,422,176,2,26,7,7,True,97627.83,112.17,[],[],
calico82_24.yaml,tiny,ClusterRoleBinding,13,12,0,1,4,0,0,True,7256.87,30.04,[],[],
hostports0197.yaml,tiny,Pod,17,481,187,1,49,13,13,True,177756.04,179.88,[],[],
users18.yaml,tiny,Service,17,13,4,1,6,2,2,True,27320.13,45.79,[],[],
resource454_3.yaml,tiny,Pod,11,481,187,2,49,13,13,True,178126.9,194.01,[],[],
share-process-namespace.yaml,tiny,Pod,9,481,187,3,49,13,13,True,178225.01,194.15,[],[],
blue-green2_3.yaml,tiny,Service,22,13,2,1,6,1,1,True,27703.93,39.43,[],[],
loadbalancer-nginx.yaml,tiny,Service,16,13,4,1,6,2,2,True,27376.54,53.52,[],[],
patched028.yaml,tiny,Pod,14,481,187,2,49,13,13,True,178047.21,190.93,[],[],
limitr-1.yaml,tiny,LimitRange,16,7,0,6,1,0,0,True,6999.7,26.08,[],[],
restrictedvolumes2357.yaml,tiny,Pod,30,481,136,1,49,11,11,True,178651.72,181.03,[],[],
notPatchedResources4_2.yaml,tiny,Pod,7,481,18,1,49,6,6,True,179479.3,129.88,[],[],
stress4.yaml,tiny,Pod,15,481,187,32,49,13,13,True,178541.81,180.96,[],[],
ClusterRoleBinding521.yaml,tiny,ClusterRoleBinding,13,12,0,1,4,0,0,True,7199.48,30.24,[],[],
