Feature,Midle,Turned,Value
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_resources_StringValue,MatchResources_resourceRules_resources_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_resourceNames,MatchResources_resourceRules_resourceNames,resourceNames,-
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_resourceNames_StringValue,MatchResources_resourceRules_resourceNames_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_scope,MatchResources_resourceRules_scope,scope,
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_scope_Cluster,MatchResources_resourceRules_scope_Cluster,Cluster,Cluster
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_scope_Namespaced,MatchResources_resourceRules_scope_Namespaced,Namespaced,Namespaced
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_scope_estrella,MatchResources_resourceRules_scope_estrella,estrella,estrella
io_k8s_api_admissionregistration_v1_MutatingWebhook,MutatingWebhook,MutatingWebhook,
io_k8s_api_admissionregistration_v1_MutatingWebhook_admissionReviewVersions,MutatingWebhook_admissionReviewVersions,admissionReviewVersions,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_admissionReviewVersions_StringValue,MutatingWebhook_admissionReviewVersions_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MutatingWebhook_clientConfig,MutatingWebhook_clientConfig,clientConfig,
io_k8s_api_admissionregistration_v1_MutatingWebhook_clientConfig_caBundle,MutatingWebhook_clientConfig_caBundle,caBundle,
io_k8s_api_admissionregistration_v1_MutatingWebhook_clientConfig_service,MutatingWebhook_clientConfig_service,service,
io_k8s_api_admissionregistration_v1_MutatingWebhook_clientConfig_service_name,MutatingWebhook_clientConfig_service_name,name,
io_k8s_api_admissionregistration_v1_MutatingWebhook_clientConfig_service_namespace,MutatingWebhook_clientConfig_service_namespace,namespace,
io_k8s_api_admissionregistration_v1_MutatingWebhook_clientConfig_service_path,MutatingWebhook_clientConfig_service_path,path,
io_k8s_api_admissionregistration_v1_MutatingWebhook_clientConfig_service_port,MutatingWebhook_clientConfig_service_port,port,
io_k8s_api_admissionregistration_v1_MutatingWebhook_clientConfig_url,MutatingWebhook_clientConfig_url,url,
io_k8s_api_admissionregistration_v1_MutatingWebhook_clientConfig_url_nameStr,MutatingWebhook_clientConfig_url_nameStr,nameStr,
io_k8s_api_admissionregistration_v1_MutatingWebhook_name,MutatingWebhook_name,name,
io_k8s_api_admissionregistration_v1_MutatingWebhook_sideEffects,MutatingWebhook_sideEffects,sideEffects,
io_k8s_api_admissionregistration_v1_MutatingWebhook_sideEffects_None,MutatingWebhook_sideEffects_None,None,None
io_k8s_api_admissionregistration_v1_MutatingWebhook_sideEffects_NoneOnDryRun,MutatingWebhook_sideEffects_NoneOnDryRun,NoneOnDryRun,NoneOnDryRun
io_k8s_api_admissionregistration_v1_MutatingWebhook_failurePolicy,MutatingWebhook_failurePolicy,failurePolicy,
io_k8s_api_admissionregistration_v1_MutatingWebhook_failurePolicy_Fail,MutatingWebhook_failurePolicy_Fail,Fail,Fail
io_k8s_api_admissionregistration_v1_MutatingWebhook_failurePolicy_Ignore,MutatingWebhook_failurePolicy_Ignore,Ignore,Ignore
io_k8s_api_admissionregistration_v1_MutatingWebhook_matchConditions,MutatingWebhook_matchConditions,matchConditions,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_matchConditions_expression,MutatingWebhook_matchConditions_expression,expression,
io_k8s_api_admissionregistration_v1_MutatingWebhook_matchConditions_name,MutatingWebhook_matchConditions_name,name,
io_k8s_api_admissionregistration_v1_MutatingWebhook_matchPolicy,MutatingWebhook_matchPolicy,matchPolicy,
io_k8s_api_admissionregistration_v1_MutatingWebhook_matchPolicy_apps,MutatingWebhook_matchPolicy_apps,apps,apps
io_k8s_api_admissionregistration_v1_MutatingWebhook_matchPolicy_deployments,MutatingWebhook_matchPolicy_deployments,deployments,deployments
io_k8s_api_admissionregistration_v1_MutatingWebhook_matchPolicy_Equivalent,MutatingWebhook_matchPolicy_Equivalent,Equivalent,Equivalent
io_k8s_api_admissionregistration_v1_MutatingWebhook_matchPolicy_rules,MutatingWebhook_matchPolicy_rules,rules,rules
io_k8s_api_admissionregistration_v1_MutatingWebhook_matchPolicy_v1,MutatingWebhook_matchPolicy_v1,v1,v1
io_k8s_api_admissionregistration_v1_MutatingWebhook_matchPolicy_Exact,MutatingWebhook_matchPolicy_Exact,Exact,Exact
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector,MutatingWebhook_namespaceSelector,namespaceSelector,
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchExpressions,MutatingWebhook_namespaceSelector_matchExpressions,matchExpressions,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchExpressions_key,MutatingWebhook_namespaceSelector_matchExpressions_key,key,
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchExpressions_operator,MutatingWebhook_namespaceSelector_matchExpressions_operator,operator,
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchExpressions_operator_Exists,MutatingWebhook_namespaceSelector_matchExpressions_operator_Exists,Exists,Exists
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchExpressions_operator_NotIn,MutatingWebhook_namespaceSelector_matchExpressions_operator_NotIn,NotIn,NotIn
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchExpressions_operator_In,MutatingWebhook_namespaceSelector_matchExpressions_operator_In,In,In
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchExpressions_operator_DoesNotExist,MutatingWebhook_namespaceSelector_matchExpressions_operator_DoesNotExist,DoesNotExist,DoesNotExist
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchExpressions_values,MutatingWebhook_namespaceSelector_matchExpressions_values,values,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchExpressions_values_StringValue,MutatingWebhook_namespaceSelector_matchExpressions_values_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchLabels,MutatingWebhook_namespaceSelector_matchLabels,matchLabels,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchLabels_KeyMap,MutatingWebhook_namespaceSelector_matchLabels_KeyMap,KeyMap,
io_k8s_api_admissionregistration_v1_MutatingWebhook_namespaceSelector_matchLabels_ValueMap,MutatingWebhook_namespaceSelector_matchLabels_ValueMap,ValueMap,
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector,MutatingWebhook_objectSelector,objectSelector,
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchExpressions,MutatingWebhook_objectSelector_matchExpressions,matchExpressions,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchExpressions_key,MutatingWebhook_objectSelector_matchExpressions_key,key,
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchExpressions_operator,MutatingWebhook_objectSelector_matchExpressions_operator,operator,
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchExpressions_operator_Exists,MutatingWebhook_objectSelector_matchExpressions_operator_Exists,Exists,Exists
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchExpressions_operator_NotIn,MutatingWebhook_objectSelector_matchExpressions_operator_NotIn,NotIn,NotIn
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchExpressions_operator_In,MutatingWebhook_objectSelector_matchExpressions_operator_In,In,In
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchExpressions_operator_DoesNotExist,MutatingWebhook_objectSelector_matchExpressions_operator_DoesNotExist,DoesNotExist,DoesNotExist
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchExpressions_values,MutatingWebhook_objectSelector_matchExpressions_values,values,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchExpressions_values_StringValue,MutatingWebhook_objectSelector_matchExpressions_values_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchLabels,MutatingWebhook_objectSelector_matchLabels,matchLabels,-
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchLabels_KeyMap,MutatingWebhook_objectSelector_matchLabels_KeyMap,KeyMap,
io_k8s_api_admissionregistration_v1_MutatingWebhook_objectSelector_matchLabels_ValueMap,MutatingWebhook_objectSelector_matchLabels_ValueMap,ValueMap,
io_k8s_api_admissionregistration_v1_MutatingWebhook_reinvocationPolicy,MutatingWebhook_reinvocationPolicy,reinvocationPolicy,
