Archivo;ID_Trivy;Resultado;Razon
runs_as_root.rego;KSV-0012;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
runs_with_a_root_primary_or_supplementary_GID.rego;KSV-0116;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
runs_with_a_root_uid.rego;KSV-0105;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
runs_with_GID_le_10000.rego;KSV-0021;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
runs_with_UID_le_10000.rego;KSV-0020;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
runtime_default_seccomp_profile_not_set.rego;KSV-0030;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (object\.get\()
scheduler_bind_address.rego;KCV-0041;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
scheduler_conf_ownership.rego;KCV-0063;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
scheduler_conf_permission.rego;KCV-0062;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
scheduler_pod_spec_ownership.rego;KCV-0053;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
scheduler_pod_spec_permission.rego;KCV-0052;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
scheduler_profiling.rego;KCV-0040;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
seccomp_profile_unconfined.rego;KSV-0104;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (object\.get\()
selector_usage_in_network_policies.rego;KSV-0038;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
selinux_custom_options_set.rego;KSV-0025;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (\[_\] ==)
service_with_externalip.rego;KSV-0108;ACEPTADA;Semántica OK. Kinds Soportados: ['service']
specific_capabilities_added.rego;KSV-0022;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
SYS_ADMIN_capability.rego;KSV-0005;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (\[_\] ==)
SYS_MODULE_capability.rego;KSV-0120;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (\[_\] ==)
tiller_is_deployed.rego;KSV-0102;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
unsafe_sysctl_options_set.rego;KSV-0026;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (k8s\.version)
uses_image_tag_latest.rego;KSV-0013;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (split\()
uses_untrusted_azure_registry.rego;KSV-0032;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (split\()
uses_untrusted_ecr_registry.rego;KSV-0035;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (split\()
uses_untrusted_gcr_registry.rego;KSV-0033;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (split\()
uses_untrusted_public_registries.rego;KSV-0034;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (split\()
uses_untrusted_registry.rego;KSV-0125;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (split\()
use_limit_range.rego;KSV-0039;ACEPTADA;Semántica OK. Kinds Soportados: ['limitrange']
use_resource_quota.rego;KSV-0040;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (object\.get\()
windows_host_process.rego;KSV-0103;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
